Price,Close,High,Low,Open,Volume
Ticker,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS
Date,,,,,
2022-12-09,767.4810180664062,769.269051277747,762.2814825093054,765.1047472593399,11963384
2022-12-12,773.4569091796875,778.0917573452812,762.9402594233738,764.6342067936074,14434808
2022-12-13,775.597900390625,779.691611282161,774.045081809991,776.3978024233952,17031702
2022-12-14,782.1619873046875,783.6912557412887,776.3978216590372,777.8094540620535,14227640
2022-12-15,767.833984375,785.52643332871,765.5988996117654,779.7152244321945,18182648
2022-12-16,771.5277099609375,774.092152545896,757.1055205947165,762.3050563129357,14647958
2022-12-19,773.9274291992188,774.8214745010525,765.1988129346979,773.5745211147686,9604542
2022-12-20,768.5867309570312,769.9983632322899,762.3755144822147,762.3755144822147,7174698
2022-12-21,761.1521606445312,773.9509952330897,755.9526825574806,772.1629045927975,9269198
2022-12-22,758.5407104492188,765.8105944995552,757.105527833969,763.3166875601125,9747096
2022-12-23,751.7648315429688,754.8233683503784,746.024158763842,746.7535251321655,10693152
2022-12-26,766.72802734375,771.2217462786327,748.1650863837865,752.6352551389098,9907322
2022-12-27,767.5045166015625,769.7866441371706,759.2229514268516,768.3985619337147,7926772
2022-12-28,766.892822265625,768.3985404591396,763.7401422287198,763.7401422287198,8691870
2022-12-29,772.3041381835938,773.3393123402351,758.046627429339,762.3285677164956,11012896
2022-12-30,766.1163940429688,774.0450507036202,762.2814481093403,774.0450507036202,7122640
2023-01-02,766.3751831054688,771.5747185925825,761.599206252521,765.5752810795132,4381378
2023-01-03,771.386474609375,773.1039720973629,763.3166316415853,763.3166316415853,8378030
2023-01-04,757.599609375,774.3980120595654,756.1644267839719,769.3396625960137,10351600
2023-01-05,752.7294311523438,761.363961996869,747.8828610167134,759.9287794067217,10941436
2023-01-06,750.2355346679688,757.1525100556714,742.6126856812602,753.81165838841,9092462
2023-01-09,751.6942138671875,758.3053815721346,748.1651330509096,750.9883977039319,10729340
2023-01-10,737.954345703125,752.8705709135635,736.4015271748293,752.8705709135635,16371766
2023-01-11,748.5886840820312,751.9295359893339,734.0488586629292,737.789661601481,15195798
2023-01-12,752.5882568359375,754.7057053191601,745.4124591983499,747.1299566781903,9250070
2023-01-13,753.1764526367188,757.5289857205452,746.2829698322787,752.2824073262016,9244546
2023-01-16,745.95361328125,762.8932015301598,743.6008926911237,759.9287506108136,14748094
2023-01-17,757.0584106445312,758.0465417622873,742.2833144816935,748.0710298619962,10786354
2023-01-18,770.4219360351562,772.4452413541381,752.7294305886606,755.2233374826154,19090642
2023-01-19,773.62158203125,776.3978038480549,768.3985537478021,770.2807302419793,11172162
2023-01-20,781.5502319335938,785.3381350695425,773.2922171040027,773.6215750117079,18843404
2023-01-23,787.267333984375,791.737503001162,781.7619909079078,784.0441183391112,15444400
2023-01-24,797.8075561523438,801.0543220710549,788.1614016839727,788.1849518657802,24983940
2023-01-25,775.7625732421875,796.6076432492649,774.1862619315023,795.8783343285286,14704142
2023-01-27,760.30517578125,770.2806876733164,748.1415649082637,767.9279671856153,35179948
2023-01-30,759.52880859375,764.7753870597624,744.4008035321777,750.5178771389529,18512822
2023-01-31,754.5175170898438,763.5519414655528,750.5178919602749,762.1403090668814,18596244
2023-02-01,765.8341064453125,783.4559607856961,755.6938576707676,764.1636518414238,17302790
2023-02-02,754.4468994140625,764.39891898851,747.5769667854696,756.6819839725084,17497106
2023-02-03,780.5386352539062,781.3385373087868,756.1644260495154,758.0466025922648,14411100
2023-02-06,777.2212524414062,785.5263676711438,774.6097095921214,781.1032414425514,11167672
2023-02-07,778.3740234375,783.4088797465557,768.2102824150999,780.8208872092126,10264588
2023-02-08,778.2799682617188,784.9616717365464,776.3977917967569,778.3976042907789,8444826
2023-02-09,776.6566162109375,781.8796444279365,769.5984544475693,781.1032351460724,11777336
2023-02-10,779.7386474609375,780.3974207148851,772.7275286057532,775.8331657401541,8172116
2023-02-13,780.3267822265625,781.9266436246849,773.833308231074,778.750471008788,5736944
2023-02-14,787.5496215820312,789.3377121023708,780.1385521539464,783.4559109689701,10908592
2023-02-15,785.9498901367188,789.5730569933797,779.5739941440893,789.5730569933797,11438712
2023-02-16,783.10302734375,791.4081422912299,781.5737590013332,787.3143741109268,8062500
2023-02-17,779.1740112304688,784.9381766371035,773.0804304797745,781.5737747281946,8956270
2023-02-20,771.8569946289062,785.5498163034474,769.245509365729,781.1031975821542,8086706
2023-02-21,774.7509155273438,782.2090285527256,768.8691138607226,771.6923786607008,12389296
2023-02-22,759.5523071289062,772.6099066583358,757.1290508254699,771.2218244589226,10359102
2023-02-23,754.3998413085938,761.740317907034,749.1532630154045,758.9876463625521,27882010
2023-02-24,747.6710205078125,761.2933065897615,745.9064801427517,761.2933065897615,17061740
2023-02-27,749.5297241210938,752.4000317034889,742.1892474948066,746.2359153519102,14312972
2023-02-28,752.682373046875,755.3645090308413,747.5534305815938,749.1062491743884,18993992
2023-03-01,751.953125,758.987737282971,750.8708504459399,758.5171931185055,14137256
2023-03-02,745.5536499023438,755.6703490514996,744.4008397192749,750.0473694769432,17391814
2023-03-03,760.3522338867188,762.2814532372655,747.2240418152949,750.9883946707876,14986234
2023-03-06,765.7164916992188,771.4335569717504,761.3639584627585,762.2814965476299,27004710
2023-03-08,767.2457275390625,771.4570743807246,762.2814641639364,762.2814641639364,20099774
2023-03-09,767.3162841796875,774.4920821094851,765.5752938872618,766.9633760847794,20700166
